01,標高が高く、モーターのパワー・出足は弱め。年間を通じナイター開催。,冬～春は「赤城おろし」と呼ばれる強風で水面が荒れることがある。夏場は穏やかな水面でまくりが効く。通年ナイター。
02,カドまくりが決まりやすく、ダッシュ3艇の出番が多い。1コースの1着率が低い。,コース幅が狭く、1マークをスタンド寄り、2マークを対岸寄りに大きく振っている。
03,枠なり進入がほとんどだが、流れがあるので水面対応力が問われる。波乗り巧者の出番だ。,全国で唯一河川を全面的に使用している。上げ潮、下げ潮と流れがあり、風向きで荒れる。
04,1マークを振っておりバック斜行にも厳しい。ダッシュ勢のまくりと差しが決まりやすい。,マンション群に囲まれ、風の影響を受ける。春～夏は追い風、冬は向かい風が吹き抜ける。
05,走りやすいので全速で攻める選手が多い。逃げとまくりが競り合うと高配当が飛び出す。,「日本一の静水面」と呼ばれており、風の影響も少ない。パワーとスピードが優先される。
06,広大な競走水面でスピードが優先する。まくり差しが入りやすく、筋舟券が成立しにくい。,浜名湖の西岸に位置しており全国でも有数の広さを誇る。冬は追い風、夏は向かい風だ。
07,年間を通じてナイター開催。インが強いが、センターからのまくりも効き、多彩なレース展開が見られる。2マークでの逆転劇も多く、迫力あるレースが多い。,1マークのバック側は全国一の広さで、握って回れる全国有数の高速水面。風の影響も少なく穏やかな水面であるため、スピード戦が繰り広げられる。通年ナイター。
08,インがスピードをつけて逃げるが、短期決戦では、モーター性能が着順に反映する。,水位は自動制御のため、潮位の変化はない。
09,風が弱ければ走りやすくインが強い水面になる。冬場になるとダッシュ勢の出番も増える。,春～夏は追い風、冬場は「鈴鹿おろし」の強い向かい風が吹く。ピット離れも差が出る。
10,ホーム側も広いのでアウトまくりが届かない。イン有利だが追い風が強いと差しも決まる。,周囲を小高い丘に囲まれたプール型水面でバック側が広い。1年を通して追い風が吹く。
11,淡水で水が硬い上に標高も高い。ダッシュ勢の出番が多くなり、まくりも決まる。,日本一の淡水湖である琵琶湖にあり、標高も高い。春～夏は沖から風が吹き水面も荒れる。
12,イン有利な展開が多いが、2マークに引き波が残る。ボートが暴れて逆転劇も多くなる。,コンクリート護岸に囲まれたプール型水面。工業用水を使用しており水は硬い。一部のレースを除き通年ナイター。
13,「センタープールだからセンターが決まる」と言われてきたが、近年はインが先攻めする。,夏は「甲子園の浜風」、冬は「六甲おろし」で向風の日が多い。水面は静水面でクセがない。
14,1マークのバック側を拡幅してからまくる選手が増えてきた。イン小回りでは残せない。,1マーク近辺の岸壁が狭まっており、まくりを誘う。冬場は強い追い風が吹き荒れる。
15,1マークの振りが大きく、干潮で向風だとまくりが決まる。満潮水面は差しの出番が増える。,防風ネットを設置しているが、冬場は強い向風が吹く。満潮時は2マークが荒れる。通年ナイター。
16,満潮時と干潮時でレースの流れが変わる。追い風の満潮時は差しが決まり高配当になる。,瀬戸内に面して潮位差は大きいが、風の影響は少ないので、穏やかな水面でのレースが多い。
17,干潮時は防波堤が防風壁の役目をして走りやすい。満潮時は水面がうねりレースがもつれる。,最大で4mを超える潮位差がある。午前と午後から風向きがかわり、スタートが揃わない。
18,潮位によってレースの流れが変わる。干潮時はパワー勝負、満潮時はさばき勝負になる。,笠戸湾に面しており、斜め追い風が吹く。潮位差は3m超。冬場の季節風は太華山が遮る。
19,海水の走りやすい水面で、どこからでも1着が取れる。広いのでピット離れに差が出やすい。,海水のプール型水面で、潮位が3mを越えると1マーク手前の堤防から海水が入ってくる。通年ナイター。
20,満潮時はイン有利、干潮に向かう時間帯はまくりが決まる。冬場の追い風では差しも決まる。,2マーク後方から潮が出入りする。満潮時は1マークが潮溜まりになる。通年ナイター。
21,走りやすい水面でパワーとスピードの勝負になる。若手の積極的な攻めが決まりやすい。,プール型水面で1マークのバック側に葦の群生がある。天然の消波装置の役目を果たす。
22,1マークの振り幅の影響により、インの占有域が狭いため、センターからのまくりが効きやすい。,海水に近い汽水。1マークは那珂川の河口に位置し、満潮時には、やや難水面になる。
23,向風の強さでレースの流れが変わる。弱めならインとカド、強いとまくり差しが決まる。,年間を通じて追い風の日が多い。広い競走水面でスピード優先。ピット離れにも差が出やすい。
24,全国トップのインの強さを誇る。風向が変わるのでスタート勘がつかみにくく、ダッシュ勢が攻めづらいためイン有利な展開が多い。,大村湾に面しており海風が吹く。時間帯によって風向が微妙に変わる。満潮時は2マークが荒れる。通年ナイター。
